1.3441,1.6845,2.306,2.3486,2.4354,2.8848,2.9014,3.0751,3.1654,3.2078,3.3496,3.6968,3.9952,4.1329,4.1562,4.176,4.2224,4.3876,4.681,4.8757,4.9411,4.9735,4.999,5.0161,5.1214,5.3203,5.3322,5.4146,5.4964,5.6969,5.7708,5.9625,6.0423,6.0941,6.258,6.273,6.2911,6.2953,6.4833,6.8029,6.8906,7.11,7.1279,7.1943,7.2505,7.3166,7.4223,7.6056,8.283,8.7125
1.453,1.7652,2.1285,2.1874,2.9014,3.2702,3.3336,3.5923,3.8861,4.2953,4.3103,4.3404,4.3826,4.6285,4.6548,4.6785,4.8732,5.0304,5.0333,5.1131,5.212,5.3195,5.4977,5.5342,5.6575,5.8923,6.0258,6.1175,6.2814,6.3521,6.5224,6.5264,6.6916,6.824,6.9653,6.9905,7.0348,7.2225,7.2564,7.3798,7.6794,7.7013,8.1217,8.2668,8.396,8.5906,8.6935,8.9101,9.0326,9.6026
1.3441,1.7946,1.9344,2.0589,2.6065,2.9691,3.1989,3.2702,3.4313,3.8346,3.9388,4.1499,4.1737,4.4022,4.4423,4.4657,4.579,4.7516,5.065,5.1427,5.2454,5.6433,5.8658,5.9981,6.1156,6.119,6.23,6.2745,6.3825,6.5444,6.5667,6.5727,6.6688,6.6899,7.008,7.071,7.294,7.4054,7.4751,7.6533,7.73,7.7479,7.7589,7.9476,8.0056,8.015,8.2562,8.2571,8.8905,9.5043
1.0887,1.6156,2.011,2.51,2.694,2.8799,2.9599,3.179,3.2747,3.2983,3.9892,4.263,4.385,4.4135,4.5673,4.9638,5.1173,5.4897,5.5824,5.6969,5.7367,5.954,6.021,6.0311,6.0716,6.0752,6.1482,6.1677,6.4532,6.6797,6.824,7.008,7.0516,7.1667,7.1945,7.4385,7.4741,7.5037,7.5057,7.6131,7.6748,7.7022,7.9942,8.2374,8.2905,8.422,8.6983,8.7674,8.8207,9.5378
1.7652,1.8364,2.7105,3.4162,3.4599,3.6578,3.6953,3.7725,3.9181,3.9952,3.9973,4.1899,4.4844,4.5553,4.7122,4.7516,4.814,4.9111,4.9437,5.1303,5.4136,5.433,5.5444,5.562,5.6556,6.1482,6.1482,6.1848,6.2593,6.3072,6.5133,6.5542,6.5973,6.6421,6.7358,6.8689,7.0095,7.3111,7.3499,7.4232,7.7871,7.7934,7.8414,7.9636,8.1344,8.2036,8.3696,8.9412,9.1536,9.4625
1.453,1.7425,1.8364,2.6913,2.8411,3.9205,4.1558,4.175,4.2224,4.2377,4.2406,4.3738,4.3859,4.4657,4.5033,4.731,4.8157,5.3133,5.4809,5.639,5.7384,5.8232,5.8465,5.8498,6.0505,6.1639,6.466,6.4848,6.5015,6.7441,6.8457,7.0422,7.2752,7.5025,7.7022,7.9634,7.9928,8.1799,8.2123,8.243,8.2518,8.3495,8.5084,8.5181,8.802,9.0249,9.3979,9.5492,9.5958,9.949
1.7425,2.009,2.1285,3.0617,3.1026,3.4162,3.8346,3.9691,4.1329,4.5457,4.6751,4.7268,4.7594,4.9566,5.0958,5.2367,5.2754,5.4763,5.6679,5.747,5.9386,5.9453,6.1437,6.2481,6.2623,6.4614,6.4818,6.7874,6.9068,7.0093,7.4708,7.5387,7.6016,7.9967,8.1241,8.1649,8.278,8.4454,8.5052,8.5947,8.6983,9.059,9.1792,9.3724,9.4735,9.4835,9.6187,9.8232,10.16,10.167
1.4504,1.9344,2.2373,2.8215,2.8848,3.0617,3.0796,3.1367,3.299,3.5923,3.7494,4.0579,4.1577,4.2377,4.4238,4.7165,4.9173,5.1303,5.1639,5.4211,5.5383,5.5572,5.8013,5.9248,6.0066,6.0873,6.3411,6.512,6.7105,6.7244,6.7915,6.8076,7.0612,7.1055,7.1136,7.1751,7.21,7.4235,7.4346,7.4453,7.6877,8.1625,8.2374,8.2406,8.7072,8.746,8.873,8.8857,8.9702,9.2071
1.7673,1.9855,2.306,2.3658,2.3883,2.4124,2.4917,2.7689,2.8805,2.9174,3.1932,3.1989,3.4185,3.5747,3.5896,3.6442,3.6832,3.8504,3.8545,3.8839,4.307,4.4135,4.4238,4.6703,4.7877,4.8732,4.9074,4.9406,4.9734,4.9881,5.3122,5.3376,5.3402,5.433,5.8232,6.032,6.0505,6.1181,6.1437,6.2227,6.5169,6.6033,6.6416,6.6597,6.998,7.1513,7.2838,7.7309,7.7526,8.0477
1.4504,2.009,2.0589,2.1874,2.4354,2.8411,2.9141,3.1083,3.2864,3.3669,3.4131,3.6953,3.7533,3.8673,3.9457,4.1252,4.307,4.7735,4.8103,4.9192,4.936,5.183,5.6832,5.6981,5.7334,5.8128,6.0045,6.0139,6.146,6.1543,6.1989,6.2068,6.2179,6.2422,6.308,6.3997,6.6675,7.0439,7.0852,7.423,7.5037,7.7097,7.8889,7.8971,8.0357,8.2293,8.4857,8.5872,8.7036,8.7627
1.2218,2.011,2.0154,2.0374,2.06,2.351,2.4505,2.7822,2.9755,3.0084,3.1932,3.3427,3.4661,3.5768,3.9934,3.9956,4.0181,4.0606,4.3012,4.8106,4.9453,5.0747,5.1214,5.232,5.3075,5.4368,5.5481,5.7219,5.986,6.2128,6.2745,6.3681,6.6141,6.7093,6.7358,6.7843,6.9288,6.9317,6.9653,7.0439,7.4453,7.5384,7.612,7.7034,7.9634,8.328,8.5947,8.82,8.9469,9.1371
1.8941,2.5584,2.7105,3.1446,3.8569,4.1403,4.2147,4.2477,4.2953,4.2965,4.3859,4.4671,4.5394,4.5673,4.9421,5.0089,5.1214,5.24,5.2567,5.2613,5.3749,5.4146,5.483,5.7219,5.7623,5.8128,5.8232,5.9453,6.0469,6.0834,6.3586,6.5362,6.5421,6.5444,6.8015,6.8236,6.9961,7.0286,7.1136,7.1548,7.4422,7.7047,7.7734,7.8307,8.0686,8.0702,8.2868,8.5662,8.5865,8.701
1.4091,1.6742,1.9855,2.0386,2.2687,2.351,2.8727,2.8799,2.8861,2.9874,3.1654,3.1788,3.3896,3.4305,3.4665,3.4993,3.6692,3.6798,4.0218,4.0266,4.032,4.0885,4.1403,4.2597,4.287,4.4022,4.5553,4.5793,4.6185,4.6785,4.795,4.8103,4.8232,4.9929,5.1874,5.2176,5.4211,5.6374,5.639,5.911,5.9758,5.9846,6.0809,6.2182,6.2623,6.3144,6.5004,6.6998,6.8634,7.3204
2.1131,2.4917,2.6134,2.8837,2.9056,3.1511,3.8905,3.9022,4.176,4.2197,4.2504,4.2597,4.3012,4.4423,4.6522,4.7717,4.7821,5.3032,5.3237,5.3466,5.3573,5.5572,6.0139,6.0311,6.1797,6.2359,6.3092,6.3955,6.4571,6.4869,6.736,6.8917,7.0348,7.0821,7.0871,7.1202,7.2278,7.8414,7.9967,8.2518,8.2868,8.8494,8.9086,8.9164,8.9761,9.156,9.1822,9.3717,9.401,10.363
1.4238,1.6845,1.7673,1.7946,2.0708,2.7407,2.8215,2.8247,2.9056,3.1083,3.3786,3.3896,3.457,3.6264,3.807,3.8943,4.1865,4.1893,4.3133,4.3404,4.5467,4.8699,4.8957,4.8985,4.9453,5.0958,5.3192,5.4136,5.4809,5.9946,6.0752,6.4013,6.413,6.418,6.498,6.5362,6.5649,6.6028,6.6478,6.6968,6.8298,6.8735,6.9009,6.9275,7.1139,7.2272,7.3129,7.3481,7.9905,8.4314
1.2218,1.4091,1.6156,1.9918,2.1253,2.5578,2.7145,2.8793,2.8805,3.0185,3.0567,3.0769,3.1467,3.1496,3.4517,3.7715,4.3876,4.4301,4.4889,4.5394,4.5467,4.5701,4.6522,4.6645,5.0237,5.0379,5.0763,5.3007,5.5067,5.5444,5.6433,5.8923,5.928,6.107,6.1989,6.2916,6.4103,6.4422,6.5093,6.6364,6.6631,6.7489,6.7915,6.8457,7.2452,7.4354,7.6016,7.7509,7.9052,8.4239
