2.6571,3.578,4.1385,4.3455,4.6465,5.2223,5.4441,5.4673,5.5948,5.6412,5.6715,5.7707,6.0791,6.4005,6.4174,6.4266,6.8347,6.9346,7.1414,7.3086,7.4966,7.6011,7.7507,8.2291,8.8982,8.9769,9.1962,9.2697,9.5852,9.7871,10.156,10.244,10.373,10.48,10.759,11.089,11.4,11.641,11.808,12.063,12.361,13.019,14.11,14.196,14.313,14.923,14.997,16.024,16.042,16.418,16.928,17.608,17.821
1.1606,1.6063,1.9551,2.0412,2.3393,2.4267,3.2219,3.3213,3.6032,3.7955,4.0418,4.1379,4.295,4.574,4.5839,4.6984,4.797,4.9932,5.2315,5.6977,5.7514,5.7968,5.819,5.8511,5.8942,6.0043,6.5523,6.8856,6.8939,6.9108,7.0565,7.1113,7.1864,7.2665,7.4543,7.7891,8.1258,8.2995,8.7175,9.0814,9.2697,9.5909,9.8275,9.895,10.23,10.588,10.703,10.853,11.01,11.238,11.823,12.248,12.368
1.9714,2.2476,2.5866,2.8687,2.8828,2.9975,3.1386,3.1614,3.3721,3.5017,3.5458,3.5465,3.635,3.6962,3.7955,3.8096,4.3583,4.4137,4.42,4.4266,4.4666,4.6606,4.6918,4.7449,4.7875,5.1561,5.3444,5.3486,5.4585,5.8085,5.9104,6.0386,6.4367,6.6565,6.7566,6.7723,7.0582,7.3086,8.0644,8.3574,8.4645,8.4802,8.8137,8.9753,9.2779,9.3344,9.3653,10.033,10.389,10.652,10.866,10.898,10.979
0.90139,1.5132,1.7123,2.1742,2.5778,2.8237,3.4681,3.5017,3.6032,3.6358,3.6393,3.6793,3.6944,4.3145,4.6896,4.7331,4.7513,4.8517,4.8905,5.0366,5.2071,5.319,5.532,5.7801,5.8551,6.0405,6.0845,6.1572,6.3616,6.5837,6.5846,6.8058,7.1619,7.1717,7.2541,7.4804,7.7858,7.798,7.9861,8.1957,8.3197,8.794,8.8262,8.9286,8.973,9.0806,9.2267,10.339,10.684,10.759,12.88,13.282,13.77
0.90139,1.7972,1.9104,1.9686,2.5305,2.8466,3.6115,4.108,4.1306,4.295,4.3415,4.3506,4.3583,4.4782,4.5181,4.5343,4.8111,4.9348,5.3381,5.388,5.5012,5.8021,5.807,6.0429,6.0565,6.2392,6.3497,6.4369,6.5217,6.6919,6.7246,6.7482,6.9698,7.4025,7.476,7.5528,7.9938,8.0727,8.1201,8.6925,8.7652,8.9288,9.025,9.6404,9.769,9.8204,10.118,11.125,11.521,11.641,13.708,14.166,14.659
2.2391,2.5637,2.5866,2.8907,2.9562,3.0731,3.5696,3.6393,3.6839,3.9082,4.0009,4.0091,4.1306,4.2907,4.3276,4.546,4.6639,4.7598,4.8865,4.9774,5.4076,5.4533,5.6604,5.8006,5.819,5.8396,6.0348,6.1073,6.2824,6.3731,6.4986,6.6987,6.7016,6.8176,6.8366,7.2231,7.3712,7.3755,7.7461,8.0264,8.0712,8.2104,8.7832,8.8982,8.9357,9.1281,9.1772,9.3347,10.972,11.001,12.594,13.11,13.163
1.5295,1.7632,2.3239,2.5726,3.4832,3.6961,3.7563,3.8729,3.9557,3.9895,4.0265,4.3352,4.3934,5.2144,5.4431,5.5522,5.6602,5.7208,5.7514,6.0791,6.1347,6.2139,6.2412,6.7361,6.7723,7.4044,7.5057,8.3747,8.4322,8.8685,8.915,8.9286,9.3132,9.3347,9.769,9.9414,10.421,10.782,11.121,11.938,12.205,12.604,12.98,14.628,14.729,14.774,15.303,15.688,15.786,15.941,16.144,17.183,17.492
1.6063,2.4397,2.6222,2.7202,3.1142,3.4275,3.5906,4.1062,4.8517,4.9134,5.3186,5.3486,5.388,5.5672,5.5731,5.7208,5.731,5.7418,5.7749,5.9926,6.038,6.0737,6.1046,6.6004,6.7001,6.8778,7.1907,7.2601,7.3712,7.9495,8.1824,8.2376,8.3561,8.3814,8.4086,9.0295,9.2391,9.472,9.5336,9.8688,10.156,10.197,10.7,10.707,10.913,11.134,11.5,11.716,11.768,12.528,12.754,13.426,13.703
1.3184,2.5305,2.5778,2.7468,3.1021,3.2219,3.404,3.5906,3.6181,4.0016,4.3204,4.5392,4.9175,5.3444,5.3821,5.8605,6.1073,6.3272,6.3394,6.3545,6.7318,6.8199,6.8917,6.9312,6.9702,7.0683,7.2123,7.5276,7.6449,7.762,8.2146,8.2787,8.4396,8.4879,8.515,8.6805,8.6876,8.7241,8.915,8.9924,9.0224,9.2802,9.6863,9.7189,9.9006,10.08,10.122,10.58,11.353,12.063,12.653,13.645,14.162
1.7632,2.2087,2.2332,2.3282,3.0399,4.0834,4.1721,4.4107,4.6611,4.8417,5.3272,5.3988,5.5294,5.5812,5.9697,6.4266,7.0923,7.2601,7.3028,7.4543,7.6975,7.8737,7.949,7.9644,8.4645,8.6127,8.8366,9.8729,9.9658,10.57,10.58,10.684,11.001,11.058,11.521,11.637,11.979,12.413,12.721,13.506,13.917,14.309,14.685,16.364,16.415,16.484,17.023,17.37,17.515,17.541,17.86,18.929,19.23
1.1606,1.2669,1.5334,2.4752,2.5653,2.6222,2.7345,2.8237,2.8687,3.1021,3.2428,3.5219,3.5828,3.6115,3.7583,3.8714,4.2557,4.4504,4.7098,4.7598,4.8875,5.6412,5.6909,5.7652,5.9336,5.9518,6.0167,6.0591,6.0864,6.1756,6.2139,6.2576,7.003,7.0546,7.0982,7.2831,7.5262,7.5945,7.949,8.4197,8.8823,8.9769,9.1427,9.2003,9.8141,10.042,10.116,10.215,10.738,11.06,11.182,11.241,11.512
