0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
13,3.1654,4.6785,4.4022,2.8799,4.5553,5.639,6.2623,5.4211,1.9855,4.8103,2.351,4.1403,0,4.2597,3.3896,1.4091,1.6742,3.4665,2.8861,5.2176,4.032,4.0266,2.9874,3.1788,2.0386,4.8232,4.5793,4.0885,2.2687,6.6998,3.4305,4.0218,3.6692,5.1874,3.4993,4.795,2.8727,6.8634,5.6374,3.6798,5.9758,6.3144,4.6185,4.287,4.9929,5.9846,7.3204,6.0809,6.5004,6.2182,5.911
14,4.176,7.0348,4.4423,6.0311,7.8414,8.2518,7.9967,5.5572,2.4917,6.0139,4.3012,8.2868,4.2597,0,2.9056,4.6522,4.7821,6.3092,3.1511,3.8905,2.6134,5.3237,7.1202,6.736,5.3466,8.9164,2.8837,2.1131,4.2504,9.401,5.3573,6.4571,6.8917,8.9086,3.9022,6.2359,5.3032,10.363,8.8494,4.7717,6.1797,8.9761,4.2197,6.4869,7.2278,9.156,9.3717,6.3955,9.1822,7.0871,7.0821
15,1.6845,4.3404,1.7946,6.0752,5.4136,5.4809,5.0958,2.8215,1.7673,3.1083,4.9453,6.5362,3.3896,2.9056,0,4.5467,2.8247,6.6478,4.1893,2.0708,1.4238,6.418,5.9946,6.4013,4.8985,7.1139,4.8957,3.457,2.7407,6.6968,3.3786,6.8735,6.8298,6.9009,4.3133,3.8943,4.8699,7.9905,6.5649,3.807,4.1865,6.6028,3.6264,5.3192,6.9275,7.3129,7.2272,6.498,8.4314,7.3481,6.413
16,4.3876,5.8923,5.6433,1.6156,5.5444,6.8457,7.6016,6.7915,2.8805,6.1989,1.2218,4.5394,1.4091,4.6522,4.5467,0,3.0567,2.1253,2.7145,6.4103,5.0763,3.0185,3.0769,2.5578,1.9918,5.3007,4.4301,4.4889,3.4517,7.9052,4.6645,3.1467,2.8793,5.928,3.7715,6.107,3.1496,7.7509,6.6364,4.5701,7.2452,7.4354,5.5067,5.0237,5.0379,6.7489,8.4239,6.4422,6.6631,6.2916,6.5093
17,2.3486,3.3336,3.4313,4.385,3.4599,4.175,4.6751,4.0579,2.3658,3.2864,3.9934,3.8569,1.6742,4.7821,2.8247,3.0567,0,5.0031,4.0149,4.3561,3.587,5.4914,3.2998,4.1863,2.9467,4.3226,5.5321,4.5469,1.625,5.147,2.2306,5.2625,4.7827,4.3104,4.031,3.3442,3.3037,5.6926,4.3881,3.2462,4.718,4.9132,4.2026,3.7918,5.2948,5.0934,6.0002,6.1264,6.4596,6.5328,5.5605
18,6.4833,7.7013,7.7589,1.0887,7.0095,8.5181,9.4835,8.8857,4.9406,8.2293,2.0154,5.2613,3.4665,6.3092,6.6478,2.1253,5.0031,0,3.8545,8.4613,7.0551,2.5132,3.5591,2.2021,2.9249,5.8934,5.3406,5.9617,5.2849,9.3993,6.4008,2.3359,2.0842,6.793,4.9257,7.8971,4.1002,8.7393,7.824,6.0779,9.0864,8.7826,7.1135,6.1272,5.2645,7.597,9.7546,7.2372,6.7559,6.6409,7.4414
19,5.0161,7.2225,5.8658,3.9892,7.3499,8.1799,8.4454,6.7105,2.7689,6.6675,2.06,6.8015,2.8861,3.1511,4.1893,2.7145,4.0149,3.8545,0,5.4926,3.9201,2.4253,4.887,3.9758,2.751,7.0818,1.8058,2.1447,3.229,8.8307,4.5243,3.361,3.9675,7.212,1.7016,5.9216,2.7279,9.0486,7.5527,3.4843,6.4241,7.953,3.8344,4.5873,4.4627,7.3373,8.38,4.5799,6.5387,4.6814,5.289
20,3.3496,5.3195,2.6065,7.9942,6.6421,6.1639,5.2367,2.2373,3.6832,3.3669,6.7093,8.0702,5.2176,3.8905,2.0708,6.4103,4.3561,8.4613,5.4926,0,1.5843,7.8699,7.4909,7.9496,6.345,8.3309,5.7515,4.0463,3.7866,6.8778,3.8324,8.2933,8.3488,7.7648,5.0927,3.6609,5.9221,8.5797,7.0553,4.1362,3.0267,6.6786,3.3348,5.7447,7.6591,7.7655,6.8522,6.4786,9.0075,7.6588,6.3525
21,3.0751,5.4977,2.9691,6.6797,6.5133,6.466,5.9386,3.299,2.4124,3.9457,5.232,7.4422,4.032,2.6134,1.4238,5.0763,3.587,7.0551,3.9201,1.5843,0,6.3151,6.4967,6.6773,5.0601,7.7397,4.229,2.5572,2.7883,7.2221,3.3486,6.8467,7.009,7.3487,3.6663,3.8238,4.675,8.5156,6.9215,3.2008,3.6099,6.7787,2.5138,4.9698,6.5288,7.3868,7.0416,5.5139,8.1167,6.5369,5.6365
22,6.8906,8.6935,7.9476,3.2747,8.3696,9.5492,10.16,8.873,4.7877,8.5872,2.0374,7.0286,4.0266,5.3237,6.418,3.0185,5.4914,2.5132,2.4253,7.8699,6.3151,0,4.8242,3.1811,3.0448,7.2588,3.3672,4.4502,5.0203,10.111,6.2144,1.7452,2.7648,7.7184,3.4047,7.7274,3.4545,9.7424,8.4658,5.2152,8.4876,9.1272,5.9137,5.6021,4.3777,7.9349,9.6551,5.5402,6.3415,4.931,6.2879
